City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,Anuradhapura,100,LK,1589961142,65,8.36,80.42,305.2,8.58
85,Esperance,90,AU,1589961143,72,-33.87,121.9,288.15,4.6
86,Dharmanagar,100,IN,1589961145,59,24.37,92.17,304.71,1.37
87,Hasaki,75,JP,1589960901,82,35.73,140.83,286.15,7.7
88,Taldan,88,RU,1589961147,43,53.67,124.8,289.37,1.22
89,Geraldton,0,AU,1589961088,22,-28.77,114.6,297.15,7.2
90,Puerto Ayora,81,EC,1589961120,93,-0.74,-90.35,297.04,0.45
91,Eufaula,84,US,1589961151,93,31.89,-85.15,294.82,1.81
92,Bubaque,44,GW,1589961152,66,11.28,-15.83,298.75,5.09
93,Plérin,40,FR,1589961153,77,48.54,-2.78,288.71,2.6
94,Khatanga,100,RU,1589961032,74,71.97,102.5,282.08,4.61
95,Busselton,28,AU,1589961063,36,-33.65,115.33,290.93,4.32
96,Virden,67,US,1589961156,95,39.5,-89.77,289.26,3.13
97,Bethel,1,US,1589961144,87,41.37,-73.41,280.93,2.33
98,Cidreira,0,BR,1589961159,83,-30.18,-50.21,290.29,4.85
99,Straumen,20,NO,1589961160,61,63.87,11.3,282.04,2.1
100,Port Alfred,0,ZA,1589961084,72,-33.59,26.89,291.48,0.45
101,Hearst,21,CA,1589961163,64,49.68,-83.67,280.9,2.72
102,Zwönitz,85,DE,1589961164,87,50.63,12.8,287.04,1.34
103,Esim,91,GH,1589961165,76,4.87,-2.24,301.99,3.36
104,Ponta do Sol,20,PT,1589961160,68,32.67,-17.1,291.15,4.6
105,Cabra,37,ES,1589961167,44,37.47,-4.44,298.71,1.09
106,Gualeguay,100,AR,1589961169,90,-33.14,-59.31,288.87,3.33
107,Arraial do Cabo,11,BR,1589961170,75,-22.97,-42.03,295.45,5.51
108,Narsaq,22,GL,1589961081,30,60.92,-46.05,279.15,2.6
109,Comodoro Rivadavia,0,AR,1589960930,69,-45.87,-67.5,276.15,2.19
