City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Maningrida,65,AU,1590021595,58,-12.07,134.27,85.5,14.88
Kabalo,0,CD,1590021597,83,-6.05,26.92,69.39,2.62
Isangel,8,VU,1590021613,67,-19.55,169.27,74.59,16.67
Malindi,59,KE,1590021622,81,-3.22,40.12,78.51,17.98
Palmerston,100,AU,1590021638,39,-12.49,130.98,80.6,10.29
Bourail,11,NC,1590021647,58,-21.57,165.48,75.2,6.11
Kalemie,0,CD,1590021678,84,-5.95,29.19,69.13,2.08
Maragogi,24,BR,1590021680,87,-9.01,-35.22,77.32,7.45
Fare,0,PF,1590021686,78,-16.7,-151.02,80.01,17.9
Nabire,100,ID,1590021692,79,-3.37,135.48,83.43,1.28
Saurimo,0,AO,1590021694,61,-9.66,20.39,62.31,5.41
Alyangula,75,AU,1590021701,58,-13.85,136.42,82.4,11.41
São Félix do Xingu,0,BR,1590021702,92,-6.64,-51.99,73.63,2.33
Geraldton,0,AU,1590021704,54,-28.77,114.6,57.2,6.93
Ambon City,100,ID,1590021718,80,-3.7,128.18,82.51,4.14
Dunedin,100,NZ,1590021520,71,-45.87,170.5,52.0,1.01
Faanui,1,PF,1590021755,80,-16.48,-151.75,79.68,17.96
Mitsamiouli,0,KM,1590021758,68,-11.38,43.28,79.12,15.1
Soure,100,BR,1590021761,83,-0.72,-48.52,80.64,11.7
Sambava,49,MG,1590021825,78,-14.27,50.17,72.39,13.71
Mossamedes,0,AO,1590021835,57,-15.2,12.15,75.06,5.39
Richards Bay,2,ZA,1590021847,89,-28.78,32.04,63.84,4.88
Byron Bay,75,AU,1590021768,82,-28.65,153.62,68.0,1.12
Le Port,22,RE,1590021910,56,-20.94,55.29,71.6,17.22
Tuatapere,84,NZ,1590021911,62,-46.13,167.68,58.69,8.52
Soyo,0,AO,1590021914,84,-6.13,12.37,78.42,2.06
Rio Casca,3,BR,1590021915,87,-20.23,-42.65,62.33,1.77
Piet Retief,0,ZA,1590021921,95,-27.01,30.81,44.67,2.01
Karratha,0,AU,1590021922,25,-20.74,116.85,72.34,23.73
Noumea,15,NC,1590021704,44,-22.28,166.46,77.0,9.17
Ahipara,4,NZ,1590021932,60,-35.17,173.17,63.1,5.82
Kruisfontein,0,ZA,1590021934,26,-34.0,24.73,67.96,10.0
Burnie,10,AU,1590021935,54,-41.07,145.92,55.99,8.99
Touros,75,BR,1590021939,100,-5.2,-35.46,75.2,3.36
Christchurch,52,NZ,1590021803,47,-43.53,172.63,60.01,6.93
Vila Velha,87,BR,1590021948,78,-20.33,-40.29,73.4,2.24
Port Macquarie,100,AU,1590021949,96,-31.43,152.92,60.01,4.54
Banjar,75,ID,1590021954,100,-8.19,114.97,82.4,10.29
Pisco,0,PE,1590021977,82,-13.7,-76.22,64.4,11.41
Redcliffe,75,AU,1590021978,82,-27.23,153.1,69.01,3.36
Mackay,90,AU,1590021983,94,-21.15,149.2,69.8,4.7
Kununurra,90,AU,1590021984,88,-15.77,128.73,68.0,6.93
Atambua,73,ID,1590021986,71,-9.11,124.89,80.13,5.66
Oranjemund,0,NA,1590021987,43,-28.55,16.43,64.69,6.67
Port Lincoln,99,AU,1590021991,62,-34.73,135.87,55.18,12.41
Morondava,96,MG,1590021999,63,-20.28,44.28,71.53,12.24
Santa Maria,2,BR,1590022010,64,-29.68,-53.81,71.6,6.93
Chitipa,9,MW,1590022011,93,-9.7,33.27,57.88,5.48
Lorengau,25,PG,1590022012,78,-2.02,147.27,84.06,8.23
Katobu,26,ID,1590022017,78,-4.94,122.53,83.71,2.57
Swellendam,0,ZA,1590022018,54,-34.02,20.44,59.0,9.17
Chicama,26,PE,1590022019,79,-7.84,-79.15,68.56,5.97
Codrington,67,AU,1590022021,70,-38.27,141.97,52.36,15.39
Puerto Baquerizo Moreno,0,EC,1590022029,84,-0.9,-89.6,73.89,9.73
Gambiran,100,ID,1590022030,78,-6.8,111.5,82.87,5.64
Rondonópolis,100,BR,1590022039,84,-16.47,-54.64,74.21,4.25
Yulara,0,AU,1590022040,50,-25.24,130.99,55.4,11.41
Mount Isa,100,AU,1590022045,55,-20.73,139.5,64.4,14.99
Manta,5,EC,1590022072,74,-0.95,-80.73,78.8,11.41
Whitianga,28,NZ,1590022078,61,-36.83,175.7,64.0,4.0
Maxixe,4,MZ,1590022096,86,-23.86,35.35,67.37,6.67
Paso de Patria,100,AR,1590022105,57,-27.25,-58.55,79.0,8.05
Rantepao,64,ID,1590022107,79,-2.97,119.9,77.47,1.74
Terenos,0,BR,1590022123,73,-20.44,-54.86,73.4,3.36
Palu,100,ID,1590022134,58,-0.89,119.87,88.21,0.96
Vao,1,NC,1590022135,71,-22.67,167.48,70.57,17.36
São Gabriel da Cachoeira,0,BR,1590022136,97,-0.13,-67.09,74.75,1.3
Mangai,0,CD,1590022139,69,-4.05,19.53,70.3,1.19
Namwala,0,ZM,1590022142,71,-15.75,26.44,51.13,4.12
San Luis,73,AR,1590022145,60,-33.3,-66.34,49.78,16.98
Samarai,76,PG,1590022147,84,-10.62,150.67,81.73,16.67
Ngunguru,49,NZ,1590022149,74,-35.62,174.5,62.01,8.99
Alta Floresta,56,BR,1590022151,96,-9.88,-56.09,72.61,2.66
Saint-Joseph,75,RE,1590022170,60,-21.37,55.62,71.6,11.41
Mgandu,0,TZ,1590022176,89,-5.95,34.13,57.42,6.98
Moroni,1,KM,1590022183,71,-11.7,43.26,76.62,10.33
Ancud,20,CL,1590022192,100,-41.87,-73.82,45.0,2.24
Bahía Blanca,100,AR,1590022197,76,-38.72,-62.27,53.73,8.32
Port-Gentil,100,GA,1590022199,86,-0.72,8.78,79.41,9.37
Talcahuano,20,CL,1590022205,93,-36.72,-73.12,48.2,3.36
Santiago del Estero,43,AR,1590022216,52,-27.8,-64.26,70.83,10.0
Lakes Entrance,95,AU,1590022227,79,-37.88,147.98,54.0,1.01
Mercedes,20,AR,1590022230,97,-34.65,-59.43,64.99,0.6
